檔名	中點	角度	世界座標
img1_color_connector.png	(93.0, 110.5)	47.63	(0.30, 34.39)
img2_color_connector.png	(92.5, 112.5)	-43.98	(0.25, 34.19)
img3_color_connector.png	(91.5, 113.5)	-0.74	(0.15, 34.09)
img45_color_connector.png	(141.0, 59.5)	-41.86	(5.10, 39.49)
img46_color_connector.png	(136.5, 50.5)	4.40	(4.65, 40.39)
img47_color_connector.png	(136.5, 54.5)	40.68	(4.65, 39.99)
img48_color_connector.png	(37.0, 49.0)	32.91	(-5.30, 40.54)
img49_color_connector.png	(43.5, 162.0)	41.52	(-4.65, 29.24)
img50_color_connector.png	(135.0, 163.5)	47.53	(4.50, 29.09)
img51_color_connector.png	(105.0, 29.5)	-64.80	(1.50, 42.49)
img52_color_connector.png	(52.5, 49.5)	5.79	(-3.75, 40.49)
img53_color_connector.png	(7.5, 92.5)	-88.03	(-8.25, 36.19)
img54_color_connector.png	(138.0, 164.0)	-45.00	(4.80, 29.04)
img55_color_connector.png	(72.0, 84.5)	-317.76	(-1.80, 36.99)
img55_color_connector.png	(45.0, 160.0)	-54.64	(-4.50, 29.44)
img57_color_connector.png	(48.0, 52.0)	-39.81	(-4.20, 40.24)
img56_color_connector.png	(51.0, 167.0)	-39.61	(-3.90, 28.74)
img51_color_connector.png	(136.0, 167.0)	-3.01	(4.60, 28.74)
img53_color_connector.png	(48.5, 161.0)	8.86	(-4.15, 29.34)
img53_color_connector.png	(44.5, 162.0)	-1.45	(-4.55, 29.24)
