x,y,R,G,Gx,Gy
0,0,64,98,0.0,0.0
1,0,61,96,0.0,0.0
2,0,60,95,0.0,0.0
3,0,60,93,0.0,0.0
4,0,62,92,0.0,0.0
5,0,61,90,0.0,0.0
6,0,62,89,0.0,0.0
7,0,63,89,0.0,0.0
8,0,61,86,0.0,0.0
9,0,62,86,0.0,0.0
10,0,61,86,0.0,0.0
11,0,65,90,0.0,0.0
12,0,72,96,0.0,0.0
13,0,74,97,0.0,0.0
14,0,68,91,0.0,0.0
15,0,68,88,0.0,0.0
16,0,67,88,0.0,0.0
17,0,69,87,0.0,0.0
18,0,69,86,0.0,0.0
19,0,69,85,0.0,0.0
20,0,69,82,0.0,0.0
21,0,73,82,0.0,0.0
22,0,77,82,0.0,0.0
23,0,80,81,0.0,0.0
24,0,82,82,0.0,0.0
25,0,83,81,0.0,0.0
26,0,87,81,0.0,0.0
27,0,89,82,0.0,0.0
28,0,92,82,0.0,0.0
29,0,95,83,0.0,0.0
30,0,96,82,0.0,0.0
31,0,98,82,0.0,0.0
32,0,100,84,0.0,0.0
33,0,104,86,0.0,0.0
34,0,103,86,0.0,0.0
35,0,103,86,0.0,0.0
36,0,102,85,0.0,0.0
37,0,100,85,0.0,0.0
38,0,99,87,0.0,0.0
39,0,97,86,0.0,0.0
40,0,99,87,0.0,0.0
41,0,100,87,0.0,0.0
42,0,98,87,0.0,0.0
43,0,97,87,0.0,0.0
44,0,99,88,0.0,0.0
45,0,99,88,0.0,0.0
46,0,101,90,0.0,0.0
47,0,103,90,0.0,0.0
48,0,101,91,0.0,0.0
49,0,99,91,0.0,0.0
50,0,101,91,0.0,0.0
51,0,100,91,0.0,0.0
52,0,101,93,0.0,0.0
53,0,104,96,0.0,0.0
54,0,105,95,0.0,0.0
55,0,107,95,0.0,0.0
56,0,109,95,0.0,0.0
57,0,110,93,0.0,0.0
58,0,112,95,0.0,0.0
59,0,113,96,0.0,0.0
60,0,113,96,0.0,0.0
61,0,114,96,0.0,0.0
62,0,114,97,0.0,0.0
63,0,113,96,0.0,0.0
64,0,110,95,0.0,0.0
65,0,109,96,0.0,0.0
66,0,110,96,0.0,0.0
67,0,112,97,0.0,0.0
68,0,115,101,0.0,0.0
69,0,114,102,0.0,0.0
70,0,113,102,0.0,0.0
71,0,111,103,0.0,0.0
72,0,110,102,0.0,0.0
73,0,109,102,0.0,0.0
74,0,109,101,0.0,0.0
75,0,108,101,0.0,0.0
76,0,105,101,0.0,0.0
77,0,102,101,0.0,0.0
78,0,100,102,0.0,0.0
79,0,99,102,0.0,0.0
80,0,99,104,0.0,0.0
81,0,98,106,0.0,0.0
82,0,96,105,0.0,0.0
83,0,96,106,0.0,0.0
84,0,94,106,0.0,0.0
85,0,92,107,0.0,0.0
86,0,90,107,0.0,0.0
87,0,90,110,0.0,0.0
88,0,89,109,0.0,0.0
89,0,88,108,0.0,0.0
90,0,91,110,0.0,0.0
91,0,91,110,0.0,0.0
92,0,90,111,0.0,0.0
93,0,89,111,0.0,0.0
94,0,86,111,0.0,0.0
95,0,85,113,0.0,0.0
96,0,83,114,0.0,0.0
97,0,81,116,0.0,0.0
98,0,80,116,0.0,0.0
99,0,81,116,0.0,0.0
100,0,79,115,0.0,0.0
101,0,78,116,0.0,0.0
102,0,78,116,0.0,0.0
103,0,79,117,0.0,0.0
104,0,79,118,0.0,0.0
105,0,77,118,0.0,0.0
106,0,75,119,0.0,0.0
107,0,75,120,0.0,0.0
108,0,75,120,0.0,0.0
109,0,75,120,0.0,0.0
110,0,75,121,0.0,0.0
111,0,74,121,0.0,0.0
112,0,73,121,0.0,0.0
113,0,73,122,0.0,0.0
114,0,73,122,0.0,0.0
115,0,76,122,0.0,0.0
116,0,82,124,0.0,0.0
117,0,82,125,0.0,0.0
118,0,73,126,0.0,0.0
119,0,70,125,0.0,0.0
120,0,69,121,0.0,0.0
121,0,70,120,0.0,0.0
122,0,69,121,0.0,0.0
123,0,68,121,0.0,0.0
124,0,67,121,0.0,0.0
125,0,67,121,0.0,0.0
126,0,65,120,0.0,0.0
127,0,65,119,0.0,0.0
128,0,65,119,0.0,0.0
129,0,65,119,0.0,0.0
130,0,63,118,0.0,0.0
131,0,62,118,0.0,0.0
132,0,62,118,0.0,0.0
133,0,62,118,0.0,0.0
134,0,62,119,0.0,0.0
135,0,62,119,0.0,0.0
136,0,62,119,0.0,0.0
137,0,61,119,0.0,0.0
138,0,61,119,0.0,0.0
139,0,60,118,0.0,0.0
140,0,59,118,0.0,0.0
141,0,59,119,0.0,0.0
142,0,60,119,0.0,0.0
143,0,60,119,0.0,0.0
144,0,60,118,0.0,0.0
145,0,60,118,0.0,0.0
146,0,60,118,0.0,0.0
147,0,59,118,0.0,0.0
148,0,59,118,0.0,0.0
149,0,60,118,0.0,0.0
150,0,60,119,0.0,0.0
151,0,60,119,0.0,0.0
152,0,58,118,0.0,0.0
153,0,57,117,0.0,0.0
154,0,55,117,0.0,0.0
155,0,55,117,0.0,0.0
156,0,55,117,0.0,0.0
157,0,56,118,0.0,0.0
158,0,55,120,0.0,0.0
159,0,52,135,0.0,0.0
160,0,51,162,0.0,0.0
161,0,50,169,0.0,0.0
162,0,49,155,0.0,0.0
163,0,54,139,0.0,0.0
164,0,55,130,0.0,0.0
165,0,59,136,0.0,0.0
166,0,57,142,0.0,0.0
167,0,47,158,0.0,0.0
168,0,50,159,0.0,0.0
169,0,56,131,0.0,0.0
170,0,63,117,0.0,0.0
171,0,64,110,0.0,0.0
172,0,67,112,0.0,0.0
173,0,70,112,0.0,0.0
174,0,79,125,0.0,0.0
175,0,78,128,0.0,0.0
176,0,74,127,0.0,0.0
177,0,71,125,0.0,0.0
178,0,68,115,0.0,0.0
179,0,69,110,0.0,0.0
180,0,71,110,0.0,0.0
181,0,72,112,0.0,0.0
182,0,73,114,0.0,0.0
183,0,74,114,0.0,0.0
184,0,75,113,0.0,0.0
185,0,76,111,0.0,0.0
186,0,77,111,0.0,0.0
187,0,78,110,0.0,0.0
188,0,80,107,0.0,0.0
